date,Ab,pos_total,pos_known_white ,pos_known_black ,pos_known_latinx_hisp,pos_known_asian,pos_known_hisp,deaths_total,deaths_known_white ,deaths_known_black ,deaths_known_latinx_hisp,deaths_known_asian,deaths_known_hisp
20200614,MN,30471,11183,6604,,2143,6771,1298,903,90,,41,40
20200614,MO,15810,6885,4803,,,1514,879,510,308,,,21
20200614,MP,30,,,,,,2,,,,,
20200614,MS,19516,5265,10276,1080,62,1080,891,372,454,15,0,15
20200614,MT,601,482,2,,1,49,0,,,,,
20200614,NC,44119,16413,7955,,753,12906,1109,637,365,,16,74
20200614,ND,3080,,,,,,74,,,,,
20200614,NE,16725,7066,883,,883,6057,216,114,10,,9,30
20200614,NH,5318,3240,271,424,133,424,320,234,6,9,3,9
20200614,NJ,166881,59409,28703,50731,8510,50731,12625,6792,2336,2563,720,2563
20200614,NM,9723,1124,198,2607,60,2607,435,98,4,59,1,59
20200614,NV,11173,2719,824,2399,728,2399,464,217,58,72,65,72
20200614,NY,383324,,,,,,26442,8040,5896,6227,1585,6227
20200614,OH,41148,20907,10233,,1307,3229,2557,2001,463,,25,48
20200614,OK,8231,5154,730,,397,1616,359,275,28,,3,11
20200614,OR,5636,2224,164,,178,1828,176,129,6,,7,19
20200614,PA,78798,22700,9900,,1200,6300,6215,4419,1296,,144,357
20200614,PR,5811,,,,,,147,,,,,
20200614,RI,15947,4209,1468,5350,,5350,833,561,40,69,,69
20200614,SC,18795,6441,5828,,306,2186,600,261,272,,5,11
20200614,SD,5898,1914,944,986,654,986,75,,,,,
20200614,TN,30432,12989,6570,,469,7817,475,266,162,,10,33
20200614,TX,87854,4257,2552,6286,519,6286,1976,269,85,171,13,171
20200614,UT,14313,4926,458,6054,348,6054,139,82,5,35,7,35
20200614,VA,54506,17317,7655,,,18411,1546,932,333,,,153
20200614,VI,72,,,,,,6,,,,,
20200614,VT,1127,943,90,,47,28,55,52,,,2,0
20200614,WA,25834,6918,1141,8136,1233,8136,1217,822,38,135,106,135
20200614,WI,22758,12029,4252,,893,7530,692,476,169,,19,76
20200614,WV,2290,1819,152,,,,88,58,3,,,
20200614,WY,841,414,9,104,5,104,18,7,0,1,0,1
20200610,AK,593,349,16,,57,45,11,6,0,,2,0
20200610,AL,21989,7967,9221,,103,2086,744,360,333,,5,18
20200610,AR,10368,4973,2920,,93,2203,165,96,51,,1,8
20200610,AS,,,,,,,,,,,,
20200610,AZ,29852,5978,913,7392,290,7392,1095,515,33,195,15,195
20200610,CA,136191,18064,4713,54151,8019,54151,4663,1524,451,1837,684,1837
20200610,CO,28499,9823,1675,10997,772,10997,1573,979,106,324,55,324
20200610,CT,44347,15320,5761,8082,650,8082,4120,3002,619,349,45,349
20200610,DC,9537,1403,4352,,109,2469,499,54,371,62,7,62
20200610,DE,10056,2903,2688,2866,155,2866,413,251,109,27,1,27
20200610,FL,65779,17197,12830,24463,,24463,2801,1393,576,650,,650
20200610,GA,53980,13544,16797,7789,805,7789,2329,1023,1117,106,35,106
20200610,GU,183,6,,,86,,5,,,,,
20200610,HI,685,160,7,,236,,17,,,,,
20200610,IA,22624,13575,2488,,2036,6109,631,498,31,,31,37
20200610,ID,3260,1690,62,,47,775,85,82,0,,0,5
20200610,IL,129837,25574,21575,41721,3716,41721,6095,2676,1746,1204,285,1204
20200610,IN,38337,17022,5028,,587,4470,2173,1403,329,,9,42
20200610,KS,10812,6839,1056,,679,4726,240,162,60,,7,29
20200610,KY,11883,6042,1274,,419,1354,484,365,78,,8,15
20200610,LA,44030,,,,,,2968,1293,1566,,22,59
20200610,MA,104156,30413,9686,19581,2083,19581,7454,5463,618,499,193,499
20200610,MD,59465,11718,17214,16006,1140,16006,2844,1219,1165,276,109,276
20200610,ME,2637,1611,560,,36,74,100,87,1,,,0
20200610,MI,65182,24446,19269,,1448,4562,5955,3059,2369,,77,119
20200610,MN,28869,10152,6342,,1957,6326,1267,753,78,,37,35
20200610,MO,15187,6612,4703,,,1398,848,494,296,,,18
20200610,MP,30,,,,,,2,,,,,
20200610,MS,18483,5090,9887,1032,60,1032,868,363,444,13,0,13
20200610,MT,561,471,2,,1,37,0,,,,,
20200610,NC,38171,14636,7400,,699,11143,1053,613,343,,15,66
20200610,ND,2941,,,,,,73,,,,,
20200610,NE,16025,,,,,,195,,,,,
20200610,NH,5178,2881,257,387,123,387,301,189,6,8,2,8
20200610,NJ,165346,33627,16283,28723,4844,28723,12377,6545,2251,2482,693,2482
20200610,NM,9250,1060,195,2409,60,2409,410,,,,,
20200610,NV,10164,2605,794,2337,717,2337,448,206,57,71,65,71
20200610,NY,380156,,,,,,26195,7965,5833,6187,1573,6187
20200610,OH,39575,20180,9833,,1232,3030,2457,1929,446,,24,47
20200610,OK,7480,4813,691,,263,1548,355,275,27,,3,11
20200610,OR,5060,2283,161,,176,1768,169,127,6,,7,18
20200610,PA,74684,21900,9600,,1123,6000,6062,4245,1216,,142,336
20200610,PR,5329,,,,,,143,,,,,
20200610,RI,15756,4209,1468,5350,,5350,812,561,40,69,,69
20200610,SC,15759,4970,5218,,248,1930,575,265,243,,5,10
20200610,SD,5604,1775,931,956,642,956,69,,,,,
20200610,TN,27869,12004,6185,,461,6933,436,245,147,,9,31
20200610,TX,79757,4215,2523,6178,518,6178,1885,269,85,171,13,171
20200610,UT,12864,4491,428,,311,5361,128,,,,,
20200610,VA,52177,16466,7251,,,17556,1514,865,318,,,146
20200610,VI,72,,,,,,6,,,,,
20200610,VT,1095,927,86,,36,27,55,52,,,2,0
20200610,WA,24354,6450,1104,7241,1212,7241,1176,783,35,123,105,123
20200610,WI,21593,11260,4101,,823,7179,671,458,166,,18,70
20200610,WV,2193,1740,147,,,,85,58,3,,,
20200610,WY,768,393,7,92,5,92,18,7,,1,,1
20200607,AK,544,327,15,,52,43,10,5,0,,2,0
20200607,AL,20500,7572,8524,,96,1907,692,344,304,,5,14
20200607,AR,9426,4469,2725,,87,1831,154,89,48,,1,7
20200607,AS,,,,,,,,,,,,
20200607,AZ,26889,5628,860,6354,269,6354,1044,494,30,180,13,180
20200607,CA,128812,17486,4575,50302,7821,50302,4626,1475,439,1747,661,1747
20200607,CO,28001,9486,1610,10617,739,10617,1527,947,105,306,56,306
20200607,CT,43968,15142,5714,7977,649,7977,4071,2966,611,344,44,344
20200607,DC,9332,1392,4302,,108,2460,489,53,365,59,7,59
20200607,DE,9942,2801,2855,2632,151,2632,398,242,105,25,1,25
20200607,FL,63938,16526,12161,22678,,22678,2700,1350,558,620,,620
20200607,GA,51898,12949,16217,7137,752,7137,2180,973,1054,93,32,93
20200607,GU,179,6,,,84,,5,,,,,
20200607,HI,675,160,7,,236,,17,,,,,
20200607,IA,21711,12810,2388,,1954,5862,605,471,30,,30,36
20200607,ID,3139,1618,58,,45,730,83,80,1,,2,4
20200607,IL,127757,25020,21192,40854,3663,40854,5904,2573,1704,1168,279,1168
20200607,IN,37397,16462,4941,,567,4386,2121,1375,326,,9,40
20200607,KS,10393,6445,1024,,653,4503,232,158,60,,5,28
20200607,KY,11287,5628,1205,,417,1167,470,357,74,,8,13
20200607,LA,42816,,,,,,2936,1217,1510,,21,53
20200607,MA,103436,29893,9619,19239,2068,19239,7316,5369,607,490,190,490
20200607,MD,57973,11319,16593,15040,1093,15040,2749,1173,1143,262,107,262
20200607,ME,2570,1558,526,,36,71,99,85,1,,,0
20200607,MI,64413,23952,18991,,1427,4508,5895,3027,2345,,76,117
20200607,MN,27866,9704,6148,,1827,5958,1186,715,76,,35,30
20200607,MO,14553,6316,4525,,,1298,809,466,287,,,18
20200607,MP,27,,,,,,2,,,,,
20200607,MS,17270,4814,9333,978,59,978,817,345,420,13,0,13
20200607,MT,545,462,2,,1,30,0,,,,,
20200607,NC,35546,13788,7078,,677,10049,996,585,327,,13,65
20200607,ND,2861,,,,,,72,,,,,
20200607,NE,15634,,,,,,188,,,,,
20200607,NH,5043,2751,248,373,116,373,286,164,6,8,2,8
20200607,NJ,164164,33159,16090,28271,4770,28271,12176,6449,2218,2445,683,2445
20200607,NM,8940,1020,192,2308,57,2308,396,,,,,
20200607,NV,9649,2424,773,2231,698,2231,438,204,55,69,66,69
20200607,NY,378097,,,,,,26006,7900,5788,6143,1563,6143
20200607,OH,38476,19655,9517,,1132,2896,2377,1850,418,,21,45
20200607,OK,7150,4650,667,,218,1428,348,269,27,,2,11
20200607,OR,4808,2161,125,,159,1594,164,122,6,,7,17
20200607,PA,75592,21375,9399,,1123,5800,5943,4245,1216,,142,336
20200607,PR,4985,,,,,,142,,,,,
20200607,RI,15441,4052,1399,5009,,5009,772,507,37,69,,69
20200607,SC,14286,4965,5086,,242,1602,546,256,224,,5,10
20200607,SD,5438,1701,924,944,634,944,65,,,,,
20200607,TN,26381,11315,5858,,441,6273,418,231,142,,8,32
20200607,TX,74978,4174,2413,6034,503,6034,1830,269,85,171,13,171
20200607,UT,12066,4283,410,,295,4921,121,,,,,
20200607,VA,50681,15733,6988,,,16606,1472,820,300,,,142
20200607,VI,71,,,,,,6,,,,,
20200607,VT,1063,916,74,,26,27,55,52,,,2,0
20200607,WA,23729,6327,1091,6931,1202,6931,1159,778,35,119,105,119
20200607,WI,20835,10820,3976,,783,6981,647,441,161,,17,68
20200607,WV,2144,1691,146,,,,84,58,3,,,
20200607,WY,734,355,8,83,5,83,17,8,,1,,1
20200603,AK,505,301,14,,49,41,10,5,0,,2,0
20200603,AL,18851,7031,7774,,85,1666,653,330,286,,3,12
20200603,AR,8067,3816,2515,,80,1356,142,80,46,,1,5
20200603,AS,,,,,,,,,,,,
20200603,AZ,22223,5195,773,5235,230,5235,981,465,29,159,12,159
20200603,CA,117687,16402,4298,44975,7387,44975,4361,1395,414,1631,613,1631
20200603,CO,27060,9281,1580,10196,719,10196,1494,935,102,292,53,292
20200603,CT,43091,14814,5573,7766,633,7766,3989,2908,592,339,41,339
20200603,DC,9016,1364,4164,,106,2372,473,52,356,54,7,54
20200603,DE,9712,2809,2565,2724,149,2724,375,226,99,24,1,24
20200603,FL,58764,15738,11289,20658,,20658,2566,1290,534,578,,578
20200603,GA,48894,12264,15559,6476,704,6476,2123,948,1033,88,31,88
20200603,GU,179,6,,,84,,5,,,,,
20200603,HI,653,200,6,,224,,17,,,,,
20200603,IA,20373,12021,2241,,1833,5501,574,453,28,,28,34
20200603,ID,2990,1548,53,,44,671,83,80,1,,2,4
20200603,IL,123830,24128,20506,39339,3556,39339,5621,2441,1646,1094,266,1094
20200603,IN,35712,15998,4856,,535,4106,2032,1324,314,,8,38
20200603,KS,10170,6291,995,,639,4393,222,148,61,,5,24
20200603,KY,10410,5376,1049,,382,1110,450,321,69,,7,12
20200603,LA,41133,,,,,,2870,1217,1510,,21,53
20200603,MA,101592,26921,9244,18692,1930,18692,7152,2989,350,464,128,464
20200603,MD,54982,10757,15856,14155,1048,14155,2641,1118,1085,245,104,245
20200603,ME,2418,1459,453,,35,65,95,,,,,
20200603,MI,58035,21472,17990,,1160,4062,5570,2840,2228,,55,111
20200603,MN,25870,8995,5797,,1582,5254,1086,665,66,,30,26
20200603,MO,13767,5884,4299,,,1166,786,452,276,,,16
20200603,MP,24,,,,,,2,,,,,
20200603,MS,16322,4570,8805,923,57,923,782,333,401,10,0,10
20200603,MT,525,446,2,,1,25,0,,,,,
20200603,NC,30777,12165,6571,,629,8390,939,523,303,,12,56
20200603,ND,2679,,,,,,66,,,,,
20200603,NE,14866,,,,,,187,,,,,
20200603,NH,4795,2617,232,338,114,338,265,147,4,8,2,8
20200603,NJ,162068,32150,15671,27358,4597,27358,11880,6092,2114,2229,617,2229
20200603,NM,8140,969,192,1978,51,1978,375,,,,,
20200603,NV,8935,2141,699,2491,683,2491,429,198,52,66,63,66
20200603,NY,374085,,,,,,24079,7814,5750,6015,1573,6015
20200603,OH,36792,18790,9139,,1018,2694,2299,1807,392,,20,42
20200603,OK,6805,4435,639,,188,1374,341,264,27,,2,10
20200603,OR,4399,2115,119,,152,1502,159,114,6,,7,16
20200603,PA,73405,20563,9071,,1082,5000,5742,3958,1116,,133,304
20200603,PR,4023,,,,,,140,,,,,
20200603,RI,15219,4052,1399,5009,,5009,742,507,37,69,,69
20200603,SC,12651,4588,4812,,223,1359,518,244,204,,4,9
20200603,SD,5162,1595,917,903,599,903,62,,,,,
20200603,TN,24822,10589,5472,,423,5613,388,214,131,,7,28
20200603,TX,68271,4130,2389,5981,501,5981,1734,183,67,123,6,123
20200603,UT,10497,3873,332,,255,4190,117,,,,,
20200603,VA,46905,14647,6614,,,15257,1428,787,286,,,128
20200603,VI,70,,,,,,6,,,,,
20200603,VT,990,901,35,,12,27,55,52,,,2,0
20200603,WA,22484,6150,1061,6474,1173,6474,1135,754,33,112,101,112
20200603,WI,19400,10114,3726,,706,6535,616,418,153,,17,60
20200603,WV,2077,1644,142,,,,78,58,3,,,
20200603,WY,703,338,7,80,4,80,17,,,,,
20200531,AK,460,274,13,,46,40,10,5,0,,2,0
20200531,AL,18241,6861,7534,,86,1612,632,318,278,,3,12
20200531,AR,7253,3463,2372,,74,1031,133,76,46,,1,5
20200531,AS,,,,,,,,,,,,
20200531,AZ,19936,4972,733,4715,207,4715,906,444,29,142,12,142
20200531,CA,110583,15843,4137,42897,7209,42897,4213,1333,397,1545,591,1545
20200531,CO,26378,8989,1540,9730,685,9730,1445,919,97,280,54,280
20200531,CT,42201,14247,5355,7434,609,7434,3944,2879,582,340,37,340
20200531,DC,8801,1346,4097,,106,2328,466,52,349,54,7,54
20200531,DE,9498,2730,2520,2623,141,2623,366,220,97,23,1,23
20200531,FL,56163,15255,10782,19598,,19598,2451,1228,520,543,,543
20200531,GA,47063,11660,15064,5936,667,5936,2053,916,1001,83,31,83
20200531,GU,175,6,,,82,,5,,,,,
20200531,HI,652,200,6,,224,,17,,,,,
20200531,IA,19619,11380,2158,,1765,5101,535,411,26,,26,32
20200531,ID,2839,1460,46,,44,603,82,79,1,,2,4
20200531,IL,120260,23426,19939,37707,3465,37707,5390,2324,1588,1050,257,1050
20200531,IN,34574,14797,4529,,484,3941,1967,1272,298,,9,35
20200531,KS,9719,6000,959,,601,4183,208,138,59,,4,21
20200531,KY,9704,5082,1007,,361,1012,431,305,68,,6,9
20200531,LA,39916,,,,,,2791,1158,1468,,21,51
20200531,MA,96965,25307,8726,18132,1842,18132,6846,2861,342,431,130,431
20200531,MD,52778,10299,15188,13377,997,13377,2532,1075,1035,233,99,233
20200531,ME,2325,1303,350,,29,61,89,,,,,
20200531,MI,57397,21236,17793,,1147,4017,5491,2800,2196,,54,109
20200531,MN,24850,8529,5569,,1397,4908,1040,634,62,,26,25
20200531,MO,13147,5654,4142,,,1083,772,443,272,,,16
20200531,MP,22,,,,,,2,,,,,
20200531,MS,15501,4392,8363,878,56,878,734,316,374,10,0,10
20200531,MT,515,441,2,,1,21,16,12,,,,
20200531,NC,28589,11370,6266,,605,7575,886,498,288,,11,48
20200531,ND,2577,,,,,,61,,,,,
20200531,NE,14101,,,,,,170,,,,,
20200531,NH,4651,1981,150,233,80,233,245,88,0,4,0,4
20200531,NJ,160445,31593,15376,26773,4504,26773,11698,6014,2087,2200,621,2200
20200531,NM,7689,910,187,1846,48,1846,356,,,,,
20200531,NV,8593,2026,678,2348,657,2348,421,194,52,67,62,67
20200531,NY,370770,,,,,,23905,7755,5723,5958,1565,5958
20200531,OH,35513,18091,8852,,937,2555,2155,1697,367,,19,39
20200531,OK,6506,4210,619,,172,1248,334,255,27,,2,10
20200531,OR,4243,1946,97,,139,1317,153,109,6,,7,14
20200531,PA,71926,19847,8777,,1035,5000,5555,3958,1116,,133,304
20200531,PR,3776,,,,,,136,,,,,
20200531,RI,14928,5374,1940,6717,,6717,716,588,43,78,,78
20200531,SC,11861,4243,4445,,202,1113,494,234,196,,4,9
20200531,SD,4993,1539,906,881,580,881,62,,,,,
20200531,TN,23006,9934,5202,,411,4930,364,203,127,,7,23
20200531,TX,64287,4107,2360,5923,498,5923,1672,183,67,122,6,122
20200531,UT,9797,3645,318,,240,3859,113,,,,,
20200531,VA,44607,13744,6266,,,14097,1375,751,282,,,125
20200531,VI,69,,,,,,6,,,,,
20200531,VT,981,893,34,,11,27,55,51,,,2,0
20200531,WA,21702,5977,1030,5981,1145,5981,1118,721,33,91,96,91
20200531,WI,18403,9565,3534,,681,6164,592,398,148,,16,55
20200531,WV,1953,1571,138,,,,75,58,3,,,
20200531,WY,693,322,8,79,4,79,16,,,,,
20200527,AK,412,264,10,,46,39,10,5,0,,2,0
20200527,AL,16032,6273,6730,,82,1380,583,296,256,,3,12
20200527,AR,6277,3012,2194,,62,673,120,65,45,,1,3
20200527,AS,,,,,,,,,,,,
20200527,AZ,17262,3548,555,3572,194,3572,831,341,23,131,11,131
20200527,CA,98980,14640,3797,37768,6716,37768,3884,1241,369,1383,539,1383
20200527,CO,24767,8661,1483,9032,661,9032,1392,890,94,268,53,268
20200527,CT,41288,13951,5248,7316,596,7316,3803,2764,560,334,36,334
20200527,DC,8406,1293,3839,,104,2138,445,50,335,49,7,49
20200527,DE,9096,2645,2430,2518,135,2518,344,211,85,23,1,23
20200527,FL,51283,14569,10135,18127,,18127,2319,1158,492,509,,509
20200527,GA,44638,11215,14609,5385,638,5385,1933,850,932,81,29,81
20200527,GU,171,,,,75,,5,,,,,
20200527,HI,644,162,6,,198,,17,,,,,
20200527,IA,18445,10514,2213,,1660,4795,496,381,24,,14,29
20200527,ID,2731,1432,45,,44,560,82,79,1,,2,4
20200527,IL,114306,22289,19135,35369,3319,35369,5083,2166,1517,984,247,984
20200527,IN,32437,14272,4411,,454,3600,1871,1227,282,,9,31
20200527,KS,9337,5717,937,,582,3972,205,136,59,,4,21
20200527,KY,9077,4755,936,,357,908,400,279,66,,7,10
20200527,LA,38497,,,,,,2722,1158,1468,,21,51
20200527,MA,94220,24402,8385,16959,1790,16959,6547,2717,333,405,117,405
20200527,MD,48423,9575,14217,11956,917,11956,2392,1007,980,211,91,211
20200527,ME,2137,1303,350,,29,61,81,,,,,
20200527,MI,55608,20574,17238,,1112,3892,5334,2720,2133,,53,106
20200527,MN,22464,7704,5121,,1176,4255,932,583,57,,21,22
20200527,MO,12492,5319,3978,,,1004,696,401,254,,,14
20200527,MP,22,,,,,,2,,,,,
20200527,MS,14044,4052,7556,784,53,784,670,287,347,9,0,9
20200527,MT,481,437,2,,1,19,16,12,,,,
20200527,NC,24628,9804,5646,,532,6116,794,443,266,,10,40
20200527,ND,2439,,,,,,56,,,,,
20200527,NE,12976,,,,,,163,,,,,
20200527,NH,4286,1981,150,233,80,233,223,88,0,4,0,4
20200527,NJ,156628,30504,14898,25657,4294,25657,11339,5835,2029,2125,597,2125
20200527,NM,7252,865,187,1696,49,1696,329,,,,,
20200527,NV,8113,1902,610,2025,605,2025,402,186,51,61,60,61
20200527,NY,364965,,,,,,23532,7635,5646,5850,1546,5850
20200527,OH,33439,17219,8491,,818,2282,2044,1627,355,,16,35
20200527,OK,6229,4036,584,,163,1208,322,249,27,,2,9
20200527,OR,4038,1946,97,,139,1317,148,109,6,,7,14
20200527,PA,69417,18760,8427,,976,,5265,3615,1010,,125,268
20200527,PR,3397,,,,,,129,,,,,
20200527,RI,14353,5310,1865,6315,,6315,654,537,39,72,,72
20200527,SC,10623,3950,4138,,188,935,466,176,223,,4,4
20200527,SD,4710,1434,895,819,555,819,54,,,,,
20200527,TN,21306,8465,4383,,397,4118,353,199,121,,7,22
20200527,TX,57921,4065,2315,5873,498,5873,1562,181,67,122,6,122
20200527,UT,8706,3350,281,,208,3363,105,,,,,
20200527,VA,40249,12659,5732,,,12705,1281,706,261,,,114
20200527,VI,69,,,,,,6,,,,,
20200527,VT,971,884,30,,11,27,54,50,,,2,0
20200527,WA,20406,5841,1012,5587,1122,5587,1095,688,31,88,92,88
20200527,WI,16462,8576,3234,,618,5470,539,361,141,,14,47
20200527,WV,1851,1494,130,,,,74,58,3,,,
20200527,WY,653,316,7,73,5,73,14,,,,,
20200524,AK,408,263,10,,46,39,10,,,,,
20200524,AL,14478,5796,5972,,79,1221,551,281,239,,3,12
20200524,AR,5922,2862,2110,,61,544,116,64,44,,1,3
20200524,AS,,,,,,,,,,,,
20200524,AZ,16339,3452,529,3312,181,3312,800,335,23,126,11,126
20200524,CA,92710,14218,3660,35760,6518,35760,3774,1228,360,1357,528,1357
20200524,CO,24174,8472,1448,8763,647,8763,1332,851,92,256,51,256
20200524,CT,40468,13557,5156,7185,589,7185,3693,2689,542,324,36,324
20200524,DC,8110,1255,3757,,103,2058,432,46,326,49,7,49
20200524,DE,8809,2523,2337,2431,127,2431,326,198,79,24,1,24
20200524,FL,50867,14152,9759,17365,,17365,2237,1120,474,488,,488
20200524,GA,42902,10674,14141,4857,597,4857,1827,799,889,76,28,76
20200524,GU,166,,,,72,,5,,,,,
20200524,HI,643,162,6,,198,,17,,,,,
20200524,IA,17250,9833,2070,,1725,4485,456,346,22,,13,22
20200524,ID,2626,1403,41,,44,502,79,75,1,,2,4
20200524,IL,110304,21659,18605,34106,3234,34106,4856,2070,1469,923,236,923
20200524,IN,31376,14025,4361,,439,3482,1824,1200,277,,9,27
20200524,KS,8958,5425,911,,562,3769,185,117,56,,3,15
20200524,KY,8571,4598,903,,353,852,391,273,66,,6,9
20200524,LA,37169,,,,,,2690,1092,1418,,21,47
20200524,MA,92675,23817,8155,16681,1760,16681,6372,2631,318,401,114,401
20200524,MD,46313,9232,13762,11383,889,11383,2277,957,936,198,87,198
20200524,ME,2055,1145,235,,28,54,78,,,,,
20200524,MI,54679,20231,16950,,1093,3280,5228,2666,2091,,52,104
20200524,MN,20573,6982,4683,,1001,3666,869,543,51,,20,19
20200524,MO,11988,5115,3860,,,965,681,390,250,,,14
20200524,MP,22,,,,,,2,,,,,
20200524,MS,13252,3859,7121,722,51,722,625,268,327,8,0,8
20200524,MT,479,437,2,,1,19,16,12,,,,
20200524,NC,23222,9266,5412,,491,5557,744,413,253,,9,34
20200524,ND,2418,,,,,,53,,,,,
